,R0,R1,R2,C1,C2,SOC,OCV
0,0.017616294270759624,0.020366531995983816,0.02824151555169462,2463.175100325466,54030.264244457925,0.9,3.33222226049644
1,0.016954483121747643,0.028053370313956185,0.03948965942137086,3300.0443110419415,37009.78368919937,0.8,3.3336441795221536
2,0.016966332187308558,0.01879026078735594,0.05580229715502893,5074.195759633013,23990.619930512243,0.7,3.3083014980525127
3,0.016916275637598066,0.01875974872490392,0.04627232445974748,4104.5697645145165,37828.17420948135,0.6,3.2906462674042953
4,0.017289901325457793,0.024811057885552303,0.05430805804844652,2964.3782880675053,33762.12548879179,0.5,3.2940892742456764
5,0.017393650867683574,0.03190187647309967,0.07050267474651668,3212.0966171681744,28067.268284315607,0.4,3.288296680987254
6,0.017568725553306297,0.03042890198966354,0.0729636943886639,2744.7780617765247,29846.32031439541,0.29999999999999993,3.257346865347936
7,0.0175457658616269,0.03615377933421439,0.08826481409951692,2148.5101514410294,25723.942841099564,0.19999999999999996,3.231791957231451
8,0.017733410941987514,0.06453119798760101,0.1276770393716496,1110.7786679606465,17341.04473871026,0.09999999999999998,3.18766857104868
9,0.018238575695336306,0.408616526030967,0.9903889859084181,293.3090219720436,1965.2783093275907,0.0,2.705502231621205
